Pointer,Japanese,English,Draft version,Notes
#######,Phone Questions 1  -  #001-037,,,
#######,#001,,,
0x130000,"やあ ひさしぶリだね
デンジュウクイズやる?
 やる やらない<*A>","Hey, long time no see!
Wanna try a Denjuu Quiz?
<0>Okay<0>No<*A>","Hey, long time no see!
Wanna try a Denjuu Quiz?
Okay / No","Status: ?/200 questions complete.
"
0x130002,"デンジュウのシンカは
なんとおリある?
 3とおリ 4とおリ<*A>","How many ways are there to evolve a Denjuu?
<0>3 ways<0>4 ways<*A>","How many ways are there to evolve a Denjuu?
3 ways / 4 ways",
0x130004,"クイズきらいなの?
 うん そんなことないよ<*A>","Do you hate quizzes?
<0>Yes<0>I don't!<*A>","Do you hate quizzes?
Yes / I don't!","// means ""finish/correct later"". (Fix these before putting the convo in the patch.)"
0x130006,"さすが <&name>だね
せいかいだよ!<*2>","Well done, <&name>!
That's correct!<*2>","Next time, then.
See ya later!""<*2>","Remember to add appropriate tags
<*2><0><*A> etc.! (Not needed in Draft!)"
0x130008,"おいおいどうしたんだよ
まちがってるよ!<*2>","Aww, come on!
You got it wrong!<*2>","Aww, come on!
You got it wrong!",
0x13000a,"もしかしてアタマつかうの
きらいなのか?<*2>",Is it because you hate using your brain??<*2>,Is it because you hate using your brain??,Notes for translating these (hover)!
0x13000c,"じゃ こんどにするね
バイバーイ<*2>","Next time, then.
See ya later!<*2>","Next time, then.
See ya later!",Question categories (hover)!
#######,#'002,,,
0x13000e,"ゲンキか!
デンジュウクイズやる?
 やる やらない<*A>","What's up?!
Wanna try a Denjuu Quiz?
<0>Sure<0>No thanks<*A>","What's up?!
Wanna try a Denjuu Quiz?
Sure / No thanks",(Questions 001-024 are Denjuu Quizzes)
0x130010,"テレファングは2タイプ!
パワーともう1つは?
 ハイパー スピード<*A>","There are 2 versions of Telefang!
Power, and what else? 
<0>Hyper<0>Speed<*A>","There are 2 versions of Telefang!
Power, and what else? 
Hyper / Speed",
0x130012,"もしかしていまいそがしいの?
 まあね そうじゃないけど<*A>","Oh, are you busy right now?
<0>Kind of<0>Well, not really<*A>","Oh, are you busy right now?
Kind of / Well, not really",
0x130014,"おしいけど ちがうんだな!
またチャレンジしてよ<*2>","That sounds cool, but sadly, it's wrong! 
Better luck next time!<*2>","That sounds cool, but sadly, it's wrong! 
Better luck next time!",
0x130016,"かんたんだったかな
みんなしってるよね!<*2>","I wonder if that was a bit too easy. 
Everyone knows that!<*2>","I wonder if that was a bit too easy. 
Everyone knows that!",
0x130018,"ごめんね!
わるいことしちゃったね<*2>","Sorry!!
I didn't mean to interrupt!<*2>","Sorry!!
I didn't mean to interrupt!",
0x13001a,"それならいいじゃん
ケチだな!<*2>","Then what's the problem?
Jerk!<*2>","Then what's the problem?
Jerk!",
#######,#003,,,
0x13001c,"もしかしてひましてる?
デンジュウクイズやらない?
 やる やらない<*A>","Are you bored?
How about a Denjuu Quiz?
<0>Sure<0>Nah<*A>","Are you bored?
How about a Denjuu Quiz?
Sure / Nah",
0x13001e,"デンジュウつかいのことを
なんていう?
 Tファンガー Bファンガー<*A>","What do you call a Denjuu user?
<0>T-Fanger<0>B-Fanger<*A>","What do you call a Denjuu user?
T-Fanger / B-Fanger",
0x130020,"やらないってことは
オレのことがきらいなのか?
 そんなことない じつは..<*A>","You don't want to?
Is it because you hate me??
<0>Of course not<0>Well...<*A>","You don't want to?
Is it because you hate me??
Of course not / Well...",
0x130022,"そのとおリ!
だいせいかいだよ!<*2>","Exactly!
That's correct!<*2>","Exactly!
That's correct!",
