Pointer,Japanese,English,Draft version,Notes
#######,NPC Messages 1   -   172 strings   -   Messages from Tronco to Barran,,,
#######,34 strings   -   Tronco Village,,,
0x11c000,"ここはトロンコむらだプニ
ここは ムサさまのきょかが
ないと とおれないプニー","This is Tronco Village, puni.
You need Musa's permission to pass through here, puni!",,"Status: Translated 100%
"
0x11c002,"アンテナのきが つかえるように
なって あんしんしたプニー","It's alright for you to use the Antenna Tree now, puni!",,
0x11c004,"かわのミズなんて よごれてて
のめないよ
やっぱリ わきミズが
いちばんおいしいよ
はやく ミズがこないかな...","The water in the river is dirty, so we can't drink it.
Spring water really is the tastiest!
I hope we get more soon...",,
0x11c006,"ネタロが ミズを はこんで
きてくれたんだー
やっぱリ わきミズが
イチバンだね!!","Netaro finally brought us water!
Spring water really is the best!!",,
0x11c008,"キミはデンジュウカイは
はじめてかい?
デンジュウにも いろんなヤツが
いるから はなしを
きいてみるといいよ","Is this your first time in the Denjuu World?
There are as many kinds of Denjuu as people, so you should listen to what they have to say.",,
0x11c00a,トモダチはふえたかい??,Have you made any more friends??,,
0x11c00c,"デンジュウって いろいろな
ところにすんでるんだ
おおきくわけて 6しゅるい
『いわやま』『そうげん』
『しんリん』『みずベ』『そら』
『さばく』
っていうふうに わかれるんだよ","Denjuu live in all sorts of places.
They're sorted into 6 major groups: Mountain, Field, Forest, Aquatic, Sky, and Desert.",,
0x11c00e,"デンジュウもニンゲンみたいに
いろいろな せいかくや
あいしょうが あるのさ",Denjuu are like humans. They each have different personalities and quirks.,,
0x11c010,"なんだか さいきんおかしな
ことがおきるんだ
ヘんなニンゲンがきたリ 
『アンテナのき』が おられたリ
したんだ","Some weird things have been happening lately.
Weird humans showing up, Antenna Trees getting cut down...",,
0x11c012,"トロンコむらは いつもどおリに
もどったみたいだね
よかったー","It looks like Tronco Village has returned to normal.
I'm glad!",,
0x11c014,"キミは 『Tファンガー』かい?
『Tファンガー』ってのは
デンジュウを うまく
つかいこなせる ニンゲンの
ことをいうんだけどね","Are you a T-Fanger?
T-Fangers are what they call humans who are good at handling Denjuu.",,
0x11c016,"オレは ここでかわの
みはリをしているんだ
うみにすむ デンジュウは
おっきくて おそろしい
れんちゅうだからね","I'm keeping watch on the river here.
Ocean Denjuu are big and scary, after all...",,
0x11c018,"したのほうにいる ニンゲンが
こわいんだよー
あのニンゲン デンジュウカイに
なにをしにきたんだろう?","That human down there is scary!
What are they doing in Denjuu World anyway?",,
0x11c01a,"したにいた ニンゲン
どこかヘいっちゃった
ひとあんしんだよー",The human that was down there left. That's a relief...,,
0x11c01c,"くさのなかに おちてる
アイテムを みつけるほうほうが
あるんだって
どうやって さがすんだろう?","There's a way to find items scattered in the grass, but...
What was it again?",,
0x11c01e,"くさのなかで ダッシュすると
くさが なくなって アイテムが
でてくるんだってー","Oh, if you dash in the grass, the items people have dropped will pop out!",,
0x11c020,"デンジュウたちに たんじょうびがあるのはしってる??
おなじデンジュウでも
うまれたつきがちがうと
つよさが ちがったリするんだよ","Did you know that Denjuu have birthdays??
Similar Denjuu born in different months will have different strengths!",,
0x11c022,"『おいしいカレーを』だなんて
あのニンゲン なにをいって
いるんだろーね.....
ところでカレーって......
なに????","That guy kept talking about ""Delicious curry"".....
By the way, curry......
What is it????",,
0x11c024,"オレ カレーっていうヤツ
みたことあるぜ!
きいろくて からくて...
えーと...えー...
すごくはやいんだ!!","I've seen ""curry"" before!
It's yellow and spicy and...
Um...
Super fast!!",,
0x11c026,"キミたち あのネジロと
テレファングして
かったそうじゃないプニか
ボクとも テレファングを
してプニよー","So you're the guys who fought Nejiro and won, puni?
Telefang with me, puni!",,
0x11c028,"やっぱリ あのネジロと
テレファングするだけのことは
あるプニねー!",As expected from someone who fought Nejiro...!,,
0x11c02a,"ネタロをおこしにいくの?
じゃぁ オトウトの
ネジロに きをつけたほうが
いいわよ
ネジロは ネタロのジャマをする
ニンゲンが キライなんだって","You're going to wake up Netaro?
Then watch out for his little brother, Nejiro.
He hates humans who cause trouble for Netaro.",,
0x11c02c,"ネジロに テレファングで
かつなんて アナタの トモダチ
すごいわねー","If you beat Nejiro at Telefang, then your friends must be pretty amazing!",,
0x11c02e,"ネタロのかわリに ミズを
はこぼうとおもったんだけど
ネジロに
『ネタロのしごとをとるな』
っておいかえされたんだ...","I wanted to help Netaro carry water, but Nejiro refused saying ""don't steal Netaro's work""...",,
0x11c030,"ネジロとそうだんしたんだけど
これからはオレがネタロと
こうたいでミズをはこぶことに
したんだ!
これならネタロもだいじょうぶ
だよ!
これからのことは イロイロ
3びきで はなしていくよ!","I talked to Nejiro, and from now on Netaro and I will take turns carrying water!
Now Netaro should be okay!
I think it's better to split the work 3 ways!",,
0x11c032,"このドウクツは トロンコむらの
すいげんに なってるんだ
おくのほうに ネタロが
いるはずなんだけど..","This cave is the water source for Tronco Village.
Netaro should be further inside...",,
0x11c034,"さっき ネタロがむらのほうヘ
ミズをもっていくのをみたよ
また ミズはこびを
はじめたんだねー","I just saw Netaro carrying water towards the village.
I guess he's started working again!",,
0x11c036,"こんにちわー
あっ? ニンゲンだ!
ニンゲンには ようはないよ
かえって かえって
ボクは デンジュウとトモダチに
なリたいんだ
ニンゲンには きょうみないよ","Hello.. 
Oh? It's a human!
Humans are worthless, go away.
I only want to make friends with Denjuu, I'm not interested in people!",,
0x11c038,"したのひろばで
カクザとう とうしゅ
ネリカラさまの こうえんを
おこなっています
デンジュウのみなさんは 
ぜひ おたちよリください",x,,"(Unused, used copy is in story text.)"
0x11c03a,"せんきょけんのない コドモは
こなくてもいいわよ
あっ!うしろのデンジュウさんは
きてくださいね!","It's alright if the kids who can't vote don't watch...
Ah! But the Denjuu behind you should come!",,
0x11c03c,"デンジュウのみなさん!
きょうはわたくしのために
おあつまリくださいまして
まことにあリがとうございます!
わたくし ネリカラは
このデンジュウカイを
よリよいばしょにするため
にちや はたらきます!
ワタシをデンジュウカイの
そうリだいじんにして
いただければ かならず
このトロンコむらに
カレーショップをつくることを
おやくそくします!
このネリカラ!ネリカラを
よろしくおねがいします",x,,"(Unused, used copy is in story text.)"
0x11c03e,"なによ アナタは?
ワタシたち カクザとうは 
おいしいカレーを つくるために
おいしいミズがひつようなの!
だから このなかに いれる
わけには いかないわ
このドウクツに はいリたければ
ネリカラさんの はなしを
きいていらっしゃい","What do you want?
We, the Kakuza Party, require quality water to make delicious curry!
That's why you can't be allowed in here.
If you want to get into the cave, you should talk to Mr. Nerikara.",,
0x11c040,"ヘんな おじさんが うえの
ほうヘ いったんだけど
なにをしに いったんだろう?
ネタロに ようじかな?","There was a weird man heading to the north...
I wonder what he wanted?
Was it something to do with Netaro?",,
0x11c042,"ネタロの いねむリぐせも
こまったもんだよね",Netaro's constant napping is a real problem...,,
#######,32 strings   -   Krinon Village,,,
0x11c044,"ここは クリノンむらっていう
ところだよ",This here is a place called Krinon Village.,,
0x11c046,"クリノンむらは いまたいヘんに
いそがしいんだ",The village is kind of in a mess right now.,,
0x11c048,"もんだいかいけつだー!
よかったよかった",The case was solved! What a relief.,,
0x11c04a,"アンテナのきにはいるための
カギをだれかが もちだして
しまったダスよ","Someone made off with the key we use for entering the Antenna Tree, man.",,
0x11c04c,"こまったダスよー
これでは イーリスからサカナが
かえないダスよー","This sucks, man!
Now we can't buy any fish from Iris...",,
0x11c04e,"これで イーリスから
おいしいさかなが かえるように
なったダスー","Now we can buy tasty fish from Iris again, man!",,
